x	RK4	y_a1	E
-1	0	0.244767	0.244767
-0.9	-0.021631	0.182685	0.204316
-0.8	-0.100643	0.105079	0.205722
-0.7	-0.240995	0.0187202	0.259715
-0.6	-0.220112	-0.0670171	0.153095
-0.5	0.176334	-0.140367	0.316701
-0.4	0.482711	-0.187884	0.670595
-0.3	1.34214	-0.195871	1.53801
-0.2	11.3456	-0.152712	11.4983
-0.1	1485.22	-0.0522056	1485.27
-1.38778e-16	3.53649e+07	0.102309	3.53649e+07
0.1	2.58064e+16	0.293752	2.58064e+16
0.2	1.75015e+34	0.488559	1.75015e+34
0.3	1.01623e+70	0.63791	1.01623e+70
0.4	4.29147e+141	0.68615	4.29147e+141
0.5	9.51589e+284	0.589022	9.51589e+284
0.6	inf	0.340775	inf
0.7	inf	0.00125076	inf
0.8	inf	-0.297633	inf
0.9	inf	-0.394305	inf
1	inf	-0.203114	inf
1.1	inf	0.159754	inf
1.2	inf	0.362239	inf
1.3	inf	0.105915	inf
1.4	inf	-0.445808	inf
1.5	inf	-0.620919	inf
1.6	inf	-0.112902	inf
1.7	inf	0.179479	inf
1.8	inf	-0.460052	inf
1.9	inf	-0.619906	inf
2	inf	0.139462	inf
2.1	inf	-0.446081	inf
2.2	inf	-0.402112	inf
2.3	inf	0.0315557	inf
2.4	inf	-0.565625	inf
2.5	inf	0.0726297	inf
2.6	inf	-0.240976	inf
2.7	inf	-0.424901	inf
2.8	inf	0.327298	inf
2.9	inf	0.191935	inf
3	inf	-0.167917	inf
3.1	inf	-0.268188	inf
3.2	inf	-0.145249	inf
3.3	inf	0.283546	inf
3.4	inf	0.587166	inf
3.5	inf	-0.228363	inf
3.6	inf	0.683883	inf
3.7	inf	0.0478489	inf
3.8	inf	-0.165211	inf
3.9	inf	-0.0851604	inf
4	inf	0.599937	inf
4.1	inf	-0.0451863	inf
4.2	inf	0.539702	inf
4.3	inf	0.370748	inf
4.4	inf	-0.152306	inf
4.5	inf	0.0138028	inf
4.6	inf	-0.251373	inf
4.7	inf	0.583261	inf
4.8	inf	0.53898	inf
4.9	inf	-0.361685	inf
5	inf	-0.119027	inf
5.1	inf	-0.496247	inf
5.2	inf	0.357607	inf
5.3	inf	-0.120433	inf
5.4	inf	-0.51235	inf
5.5	inf	-0.65509	inf
5.6	inf	-0.513149	inf
5.7	inf	0.189741	inf
5.8	inf	-0.646008	inf
5.9	inf	-0.550146	inf
6	inf	-0.386078	inf
6.1	inf	-0.514104	inf
6.2	inf	0.174022	inf
6.3	inf	-0.656729	inf
6.4	inf	-0.162478	inf
6.5	inf	-0.505884	inf
6.6	inf	0.231182	inf
6.7	inf	-0.48801	inf
6.8	inf	-0.426797	inf
6.9	inf	-0.0758772	inf
7	inf	-0.414849	inf
7.1	inf	-0.234515	inf
7.2	inf	-0.358213	inf
7.3	inf	-0.321785	inf
7.4	inf	0.485096	inf
7.5	inf	-0.0260749	inf
7.6	inf	-0.0860577	inf
7.7	inf	-0.155148	inf
7.8	inf	0.680823	inf
7.9	inf	0.562887	inf
8	inf	0.647853	inf
8.1	inf	-0.142247	inf
8.2	inf	-0.174016	inf
8.3	inf	0.488001	inf
8.4	inf	0.160915	inf
8.5	inf	-0.0813924	inf
8.6	inf	0.0624626	inf
8.7	inf	-0.302348	inf
8.8	inf	-0.260574	inf
8.9	inf	-0.407327	inf
9	inf	0.328457	inf
9.1	inf	0.186174	inf
9.2	inf	-0.29491	inf
9.3	inf	-0.353498	inf
9.4	inf	-0.483456	inf
9.5	inf	-0.59639	inf
9.6	inf	-0.394163	inf
9.7	inf	0.0560405	inf
9.8	inf	-0.636018	inf
9.9	inf	-0.0447525	inf
10	inf	0.162439	inf
